advantage_lam,alpha3,approxkl,clipfrac,cliprange,ent_coef,eplenmean,eplrewmean,eprewmean,explained_variance_l,explained_variance_v,fps,gamma,lf_coef,lr_a,lyapunov_lambda,lyapunov_loss,max_grad_norm,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss,vf_coef,violation_times
,0.1,0.01475179,0.18925782,,,65.0,0.24023041,130.69726619,-0.04957926273345947,0.3948666453361511,1137,,,,2.8589373,0.0004337642,,1839,-2.6195016,-0.00093917793,3766272,3384.651697874069,3766272,0.01103032,,0.0
,0.1,0.015527586,0.17617187,,,65.0,0.24007364000000003,132.77990321,-0.08838701248168945,0.23844927549362183,1108,,,,2.8619838,0.000339708,,1840,-2.6191618,0.0016861353,3768320,3386.4998960494995,3768320,0.011546245,,0.0
,0.1,0.015255695,0.18828125,,,65.0,0.24563674000000002,138.14550379,-0.11697816848754883,0.2646915912628174,1129,,,,2.8643823,0.0003797904,,1841,-2.6158915,0.0032876194,3770368,3388.3229088783264,3770368,0.01130181,,0.0
,0.1,0.018175643,0.20493165,,,65.0,0.21241109000000002,137.07815265000002,-0.07206308841705322,0.3550316095352173,1139,,,,2.86694,0.00032577437,,1842,-2.6180246,0.0026261539,3772416,3390.1214621067047,3772416,0.011854091,,0.0
,0.1,0.017139928,0.20498046,,,65.0,0.18197077999999997,135.48136060000002,-0.18761706352233887,0.37300509214401245,1136,,,,2.8682165,0.00035585515,,1843,-2.6156814,0.0013267477,3774464,3391.924742937088,3774464,0.011078896,,0.0
,0.1,0.014560493,0.17915039,,,65.0,0.15868888999999997,134.31925544,-0.2886486053466797,0.241196870803833,1131,,,,2.8683326,0.00029953913,,1844,-2.6146631,0.0034739561,3776512,3393.7350108623505,3776512,0.011113023,,0.0
,0.1,0.016067093,0.20073242,,,65.0,0.16699133,134.62170931,-0.0814899206161499,0.2168722152709961,1134,,,,2.8693633,0.00030506897,,1845,-2.6182218,0.0006952779,3778560,3395.53999209404,3778560,0.011202594,,0.0
,0.1,0.017771218,0.21328124,,,65.0,0.16905641,132.15247104999997,-0.13288891315460205,0.3266487717628479,1124,,,,2.8727746,0.00031076436,,1846,-2.621451,0.0025346524,3780608,3397.36119890213,3780608,0.011611934,,0.0
,0.1,0.014891332,0.18383789,,,65.0,0.18614787999999996,131.52112652999998,-0.14962828159332275,0.3354055881500244,1141,,,,2.8755875,0.0003595887,,1847,-2.622676,0.004028363,3782656,3399.156235933304,3782656,0.011522574,,0.0
,0.1,0.013721074,0.1821289,,,65.0,0.18027495000000002,131.81715261,-0.13750183582305908,0.22744470834732056,1121,,,,2.8784652,0.00034144236,,1848,-2.6237667,0.0026544945,3784704,3400.9829659461975,3784704,0.011219432,,0.0
,0.1,0.015340148,0.1885254,,,65.0,0.18377659,132.43764922999998,-0.12927377223968506,0.3739345669746399,1101,,,,2.87822,0.00032887698,,1849,-2.6258478,0.0034572133,3786752,3402.843446969986,3786752,0.010907694,,0.0
,0.1,0.017755114,0.2130371,,,65.0,0.20144458000000004,136.33489855,-0.12156939506530762,0.2521539330482483,1115,,,,2.878825,0.00038354154,,1850,-2.631155,-0.004446243,3788800,3404.679183959961,3788800,0.011645614,,0.0
,0.1,0.014401306,0.18334961,,,65.0,0.20977106000000004,136.80854237000003,-0.1479473114013672,0.22014713287353516,1131,,,,2.878961,0.00039413766,,1851,-2.630778,-0.0019627258,3790848,3406.489398956299,3790848,0.011475812,,0.0
,0.1,0.015265633,0.18710938,,,65.0,0.21662568999999998,134.76126503999998,-0.13790810108184814,0.4665558338165283,1138,,,,2.8782372,0.00041913503,,1852,-2.626175,0.0020062048,3792896,3408.289335012436,3792896,0.012096482,,0.0
,0.1,0.014638375,0.18320313,,,65.0,0.20603464,135.23368367,-0.2810894250869751,0.2333342432975769,1140,,,,2.8801258,0.0003604294,,1853,-2.6277213,0.0027058495,3794944,3410.085646867752,3794944,0.011803102,,0.0
,0.1,0.012585918,0.15839843,,,65.0,0.22238942,134.88918676999998,-0.06461644172668457,0.2297847867012024,1136,,,,2.882008,0.00040637414,,1854,-2.6293893,0.0032070545,3796992,3411.888247013092,3796992,0.011697841,,0.0
,0.1,0.014198666,0.17875977,,,65.0,0.22852747,135.18088074000002,-0.18498969078063965,0.37683022022247314,1138,,,,2.883672,0.00046899891,,1855,-2.6327515,0.0036040996,3799040,3413.687996864319,3799040,0.011976677,,0.0
,0.1,0.015069805,0.17329101,,,65.0,0.26310815000000004,136.32300626,-0.08899223804473877,0.23384827375411987,1135,,,,2.8847165,0.00039852218,,1856,-2.638522,0.005378782,3801088,3415.4914660453796,3801088,0.013444452,,0.0
,0.1,0.011986172,0.15268555,,,65.0,0.27529042000000004,137.71390974999997,-0.02709674835205078,0.2249196171760559,1118,,,,2.8876758,0.00040888553,,1857,-2.640985,0.0014117432,3803136,3417.3233489990234,3803136,0.011859567,,0.0
,0.1,0.018565085,0.20429687,,,65.0,0.28710789999999997,137.31551455000002,-0.05641281604766846,0.4245937466621399,1131,,,,2.8886266,0.0004932917,,1858,-2.6388993,0.00022414443,3805184,3419.133332967758,3805184,0.011870973,,0.0
,0.1,0.015114278,0.18608399,,,65.0,0.24853946000000005,136.23538236000002,-0.18264901638031006,0.2668073773384094,1103,,,,2.889963,0.0003800114,,1859,-2.6353319,0.00127839,3807232,3420.989588022232,3807232,0.011920639,,0.0
,0.1,0.012203456,0.15039062,,,65.0,0.25302338999999996,136.66837072,-0.0762789249420166,0.2555152177810669,1135,,,,2.891791,0.000413119,,1860,-2.6345406,0.0006780088,3809280,3422.793168783188,3809280,0.011403489,,0.0
,0.1,0.01775908,0.2142578,,,65.0,0.22237210999999998,135.94342803,-0.0811232328414917,0.1962403655052185,1122,,,,2.8911662,0.00038801384,,1861,-2.636291,0.0041977633,3811328,3424.6184129714966,3811328,0.0118805645,,0.0
,0.1,0.014393143,0.18427734,,,65.0,0.22716701,136.93151013,-0.19539272785186768,0.2449876070022583,1139,,,,2.8906608,0.00038193254,,1862,-2.638711,0.00011956082,3813376,3426.4154670238495,3813376,0.011323054,,0.0
,0.1,0.012800487,0.15942383,,,65.0,0.18638308000000003,136.21049452,-0.09328079223632812,0.2439424991607666,1125,,,,2.8899627,0.00040586293,,1863,-2.642246,0.004350674,3815424,3428.2353839874268,3815424,0.011146896,,0.0
,0.1,0.013221018,0.16420898,,,65.0,0.14930461,134.05370059999998,-0.20520341396331787,0.3584705591201782,1130,,,,2.8900917,0.00033584432,,1864,-2.641736,0.00054923864,3817472,3430.0470979213715,3817472,0.011165835,,0.0
,0.1,0.013581124,0.16547851,,,65.0,0.13626658,134.10271743000004,-0.2912255525588989,0.2321791648864746,1136,,,,2.8918402,0.0003033229,,1865,-2.6399562,0.0019725214,3819520,3431.8493688106537,3819520,0.011664992,,0.0
,0.1,0.015389132,0.19384766,,,65.0,0.11383415999999999,133.05396669,-0.256963849067688,0.229702889919281,1126,,,,2.894491,0.0002750734,,1866,-2.6377745,4.144589e-06,3821568,3433.6672348976135,3821568,0.012043325,,0.0
,0.1,0.012248987,0.15629883,,,65.0,0.11045213999999999,132.96021480000002,-0.2363417148590088,0.2421715259552002,1133,,,,2.8927398,0.0003552248,,1867,-2.6394753,0.00014982335,3823616,3435.4742138385773,3823616,0.011816191,,0.0
,0.1,0.0150855975,0.18007812,,,65.0,0.11106788000000002,131.49314902999998,-0.34139931201934814,0.24049317836761475,1137,,,,2.8935869,0.0003452086,,1868,-2.6468792,0.0056800535,3825664,3437.2746288776398,3825664,0.011280892,,0.0
,0.1,0.01511348,0.18491212,,,65.0,0.11640585999999999,132.08531206,-0.18768298625946045,0.276386022567749,1128,,,,2.8964472,0.0003414435,,1869,-2.6474164,0.0025689853,3827712,3439.0895528793335,3827712,0.0116797695,,0.0
,0.1,0.015766207,0.18334961,,,65.0,0.14002814,132.14182728999995,-0.15424036979675293,0.33694225549697876,1126,,,,2.8956592,0.00034674915,,1870,-2.64611,0.00064322696,3829760,3440.907940864563,3829760,0.011999793,,0.0
,0.1,0.01627381,0.17958984,,,65.0,0.13720703,130.62299029,-0.4601677656173706,0.24003630876541138,1129,,,,2.8903651,0.00038027688,,1871,-2.6454775,0.003354334,3831808,3442.7221529483795,3831808,0.011737125,,0.0
,0.1,0.016240109,0.19736329,,,65.0,0.11006020999999999,128.89303572999998,-0.9918117523193359,0.25926274061203003,1133,,,,2.884417,0.00030849333,,1872,-2.6482031,-0.0007802757,3833856,3444.5301189422607,3833856,0.010599988,,0.0
,0.1,0.018650146,0.21147461,,,65.0,0.07330739,126.25552061999998,-1.6568667888641357,0.4138365387916565,1115,,,,2.8820093,0.00045970595,,1873,-2.652186,-0.0041739955,3835904,3446.367166996002,3835904,0.011638041,,0.0
,0.1,0.015601901,0.19501953,,,65.0,0.08529057999999999,127.15224395999998,-0.2199634313583374,0.28722691535949707,1129,,,,2.8804018,0.0003702339,,1874,-2.6489704,0.0049333693,3837952,3448.185544013977,3837952,0.010490565,,0.0
,0.1,0.016592896,0.19970703,,,65.0,0.11529272,128.64630581,-0.14899194240570068,0.25363004207611084,1132,,,,2.8798459,0.00039852914,,1875,-2.6436868,0.0006501599,3840000,3449.993758916855,3840000,0.010842221,,0.0
,0.1,0.016451124,0.18730469,,,65.0,0.14535145,131.89308855,-0.17949378490447998,0.25615787506103516,1140,,,,2.8815112,0.0003295722,,1876,-2.6473148,0.003967754,3842048,3451.7903599739075,3842048,0.011253702,,0.0
