# {"t_start": 1557845415.38322, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
0.631869,65,51.569797,24,22.67307
-0.866306,65,28.421311,18,22.714437
3.444791,65,165.159082,55,22.755787
-26.413337,65,280.444701,49,22.79716
-2.642588,65,138.131367,36,22.851015
0.804171,65,26.534581,19,22.902934
0.674801,65,132.184628,42,22.946265
0.209266,65,46.601166,24,22.989631
-1.020373,65,7.620131,6,23.645746
-2.390199,65,36.90955,29,23.701467
-0.460544,65,24.25512,18,23.74889
-0.722997,65,128.353684,22,23.791647
2.77428,65,29.024316,22,23.840073
-10.426184,65,196.033988,47,23.967353
1.660351,65,73.851761,30,24.030976
4.66735,65,73.569554,40,24.079054
-0.278974,65,20.416664,11,24.123623
-1.164523,65,129.868148,27,24.16617
-0.050866,65,22.921789,15,24.27044
-2.108633,65,39.764084,23,24.48251
1.538528,65,36.77,23,24.56241
-2.173579,65,45.665851,16,24.611281
1.797795,65,93.537381,33,24.65679
0.855962,65,39.781515,22,24.704806
-0.772482,65,91.740974,42,24.760373
0.486435,65,0.735705,0,24.804163
-12.915628,65,32.198508,12,24.859511
-7.91715,65,191.974389,46,24.9201
13.168739,65,356.108826,45,25.001087
-1.992888,65,54.873635,31,25.112924
0.160381,65,57.187433,24,25.167557
-0.220574,65,204.516374,56,25.213251
-2.528196,65,36.693433,19,25.258811
-1.654637,65,23.261928,13,25.304081
-0.637133,65,135.437415,32,25.373313
-0.579566,65,65.199172,29,25.427334
1.991624,65,82.527065,38,25.488744
2.601262,65,60.470047,22,25.565139
-1.930102,65,38.86087,27,25.636131
3.597838,65,25.281216,16,25.67858
3.519858,65,316.243757,52,26.44124
5.133977,65,31.302158,23,26.495687
0.949625,65,2.032216,1,26.557766
-14.975898,65,445.549322,57,26.639908
5.946598,65,98.106099,31,26.759023
1.574635,65,92.205206,28,26.825474
4.938764,65,145.656899,48,26.897859
-2.154346,65,19.336487,8,26.958263
1.393009,65,11.126175,8,27.000834
5.461304,65,90.044473,35,27.043392
0.093097,65,23.986816,13,27.086618
-1.881807,65,55.226437,24,27.129451
-1.915703,65,40.191784,17,27.173184
1.385285,65,46.429477,26,27.21703
-1.999818,65,88.64,34,27.261523
-0.907748,65,7.856317,7,27.305243
-2.311025,65,77.160027,32,27.353541
14.249153,65,268.542617,41,27.410472
19.61643,65,44.896996,26,27.464062
-0.961681,65,42.961213,23,27.520812
-7.481607,65,63.231517,29,27.575484
-22.764586,65,265.353592,40,27.634579
-7.587711,65,257.85194,54,27.680935
-6.79516,65,212.324078,37,27.755341
9.025584,65,88.103036,46,27.872946
0.537947,65,0.0,0,27.924049
-1.660552,65,7.35866,6,27.970008
-5.343777,65,109.579183,41,28.014764
1.205054,65,101.91786,40,28.100201
5.101738,65,161.924584,21,28.153642
-0.100937,65,24.851329,12,28.198947
-0.308319,65,21.695465,17,28.803604
0.915907,65,12.829095,8,28.870011
-0.640516,65,38.988563,20,28.936311
12.870216,65,190.990529,41,29.07209
-1.306377,65,14.733074,9,29.190638
-0.792342,65,30.152843,11,29.275412
-0.913701,65,93.097209,27,29.322388
0.390107,65,19.015269,11,29.463487
1.356534,65,1.214206,0,29.578864
-3.080976,65,154.470637,48,29.628281
-2.397114,65,114.098411,40,29.69373
-0.363041,65,197.347764,46,29.775761
1.533433,65,488.79961,55,29.897472
1.113308,65,47.788903,31,29.956579
-0.418288,65,7.136874,5,30.099498
-8.33858,65,224.677739,42,30.276283
42.949138,65,473.447269,55,30.373053
27.494101,65,250.59368,46,30.664608
-1.424648,65,108.30301,44,30.792633
3.703766,65,103.673694,29,30.912203
17.597915,65,80.283088,25,31.084465
-2.681155,65,42.185555,24,31.175516
1.100557,65,45.941474,31,31.256496
-17.031193,65,483.676745,58,31.330335
1.726718,65,12.055226,10,31.441026
-2.871113,65,176.221268,48,31.512182
-2.167872,65,15.015896,10,31.575942
6.517919,65,120.550417,38,31.624018
-0.481069,65,16.47939,10,31.669296
5.039182,65,210.447332,49,31.720912
0.833013,65,65.849426,34,31.770925
-13.421093,65,176.067924,46,31.818953
