# {"t_start": 1557863724.388421, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
-1.934583,65,73.893397,34,15.47038
-1.000671,65,25.746379,18,15.510531
-0.901109,65,8.790588,5,15.550658
1.018684,65,259.617234,46,15.590673
7.377154,65,76.4686,35,15.631929
2.305173,65,2.346224,2,15.67268
-2.989632,65,44.042552,25,15.715842
-1.631948,65,46.202153,22,15.756258
-3.347253,65,98.973068,28,15.796571
-5.554756,65,99.90104,39,15.83706
2.169654,65,10.965781,7,15.877447
-1.55751,65,130.693079,39,15.919541
-1.110269,65,1.917469,0,15.963426
2.107342,65,21.14639,17,16.003997
2.272221,65,20.513613,20,16.575266
1.867028,65,2.120717,1,16.614959
-1.136768,65,12.551299,7,16.655939
4.873661,65,35.345654,16,16.695817
-1.791874,65,7.366374,7,16.73634
4.547964,65,47.116695,19,16.778772
-0.701194,65,409.871495,55,16.826018
-0.208043,65,0.200273,0,16.866483
-5.031193,65,117.224561,30,16.906614
0.327486,65,100.093595,40,16.946472
-2.762516,65,77.594138,23,16.986737
-4.308328,65,79.058412,25,17.026477
0.111864,65,13.178448,8,17.066274
-3.899308,65,21.055745,17,17.107494
-1.159703,65,123.020396,42,17.148619
-0.7404,65,191.473705,53,17.188765
0.047575,65,0.406687,0,17.228847
5.679106,65,337.121771,58,17.26943
3.068739,65,14.080958,6,17.309045
-12.095223,65,9.173298,7,17.348874
2.524039,65,328.202302,55,17.389534
-4.050273,65,48.22398,24,17.437835
1.864041,65,72.687404,37,17.479707
5.436289,65,55.75866,31,17.519957
-14.601947,65,9.903679,8,17.56179
10.374274,65,323.77007,56,17.609378
-8.123105,65,57.230538,25,17.655365
-0.099973,65,68.941565,36,17.695441
0.61082,65,112.812255,39,17.735575
-4.302966,65,25.374236,15,17.776483
-0.928893,65,0.0,0,17.816272
0.283309,65,19.559073,14,18.410684
0.890553,65,9.005583,7,18.457288
1.083424,65,104.961451,32,18.500064
-7.006533,65,70.467591,30,18.541629
-2.170011,65,33.797601,22,18.585762
-4.255787,65,65.090271,33,18.628643
-0.461339,65,17.419406,12,18.670967
-16.528448,65,85.925953,29,18.712154
0.332184,65,113.981657,49,18.753761
1.254708,65,173.22456,51,18.797237
5.216342,65,34.994286,17,18.842735
1.378716,65,70.052703,32,18.884118
-6.251297,65,83.357734,28,18.925175
-4.013591,65,25.527511,16,18.971302
3.295224,65,209.214247,36,19.012138
0.255323,65,104.525475,35,19.052748
-0.415939,65,42.287617,25,19.093348
-6.282701,65,140.6303,40,19.134538
0.286024,65,24.229331,8,19.17899
8.829085,65,41.346241,24,19.219634
4.221639,65,171.818339,61,19.260207
8.641683,65,133.521293,36,19.300801
8.295861,65,377.790317,63,19.341018
1.511986,65,65.890558,33,19.381296
21.577069,65,395.607478,57,19.421642
-1.6223,65,25.288163,15,19.46402
2.561414,65,55.13578,36,19.505691
-3.474516,65,1.547156,0,19.545639
0.703645,65,0.0,0,19.585937
2.862568,65,7.710262,6,19.626226
1.627971,65,111.731579,38,19.667126
1.306043,65,30.851641,16,19.707255
-6.748702,65,208.817125,49,20.280587
0.287087,65,27.60071,19,20.321811
-6.600092,65,74.484343,35,20.362922
-6.647597,65,155.129404,31,20.404654
3.814853,65,19.440507,13,20.445403
-2.386978,65,116.043519,48,20.48714
5.43015,65,7.920793,5,20.527494
-8.476226,65,316.064615,49,20.571766
-0.930626,65,7.449447,4,20.612593
-1.245146,65,10.447927,7,20.65354
25.205094,65,181.176455,26,20.693556
1.503259,65,141.259091,25,20.734651
0.624008,65,0.190102,0,20.77466
4.710155,65,92.547682,40,20.818786
-0.693918,65,20.30835,15,20.859162
0.994926,65,23.894974,15,20.90057
2.556693,65,29.575472,18,20.948862
-1.600534,65,22.479893,13,20.992171
-2.125456,65,180.635475,50,21.034419
-0.60053,65,48.107963,14,21.080398
15.290561,65,320.245675,51,21.120856
-3.907795,65,42.081028,20,21.161055
-1.734652,65,58.168396,27,21.201083
26.132012,65,444.065166,54,21.241076
-3.471582,65,24.010344,16,21.280739
-0.099648,65,0.615886,0,21.321594
1.111108,65,172.522176,63,21.365583
5.589852,65,91.131792,30,21.411832
-2.369062,65,34.791514,17,21.453225
-10.407985,65,156.926449,44,21.492883
2.105047,65,0.99513,1,21.532749
-2.792487,65,56.023272,25,22.132273
2.209843,65,43.932173,25,22.172798
0.549953,65,253.907506,56,22.21322
9.180917,65,156.551493,33,22.253588
-43.455641,65,253.791518,43,22.293342
0.129799,65,27.310333,13,22.33443
0.580511,65,68.655074,39,22.374717
-4.506229,65,83.759079,39,22.415147
-0.160982,65,17.140299,11,22.455884
-0.050589,65,16.396547,9,22.500743
5.772119,65,25.827172,7,22.540844
-3.479405,65,140.964988,37,22.580839
-2.915942,65,44.790692,21,22.620956
-1.935116,65,47.816415,21,22.667414
1.632571,65,96.290211,29,22.709275
1.131187,65,5.583616,5,22.749531
-5.482221,65,260.450455,37,22.795924
-1.793303,65,11.729021,8,22.841185
1.38887,65,238.514035,39,22.882894
-50.712473,65,73.722049,28,22.927415
-0.005656,65,46.135681,23,22.967828
1.168724,65,30.118307,24,23.007858
-1.566394,65,12.631074,9,23.047878
-13.434785,65,122.016496,28,23.088023
6.683191,65,163.779495,50,23.129278
3.045941,65,62.60816,30,23.169339
1.450433,65,30.488012,21,23.209731
-24.609435,65,218.883177,42,23.250062
-0.509892,65,67.755056,32,23.290115
1.58042,65,162.080166,44,23.330495
-7.046807,65,186.825291,53,23.37288
4.774366,65,167.973704,49,23.417325
2.994517,65,120.37168,36,23.998875
-0.557328,65,0.561048,0,24.038662
-21.973875,65,169.127969,43,24.07871
-5.22986,65,17.550455,12,24.118613
0.13799,65,39.816689,25,24.163347
-1.126609,65,99.44077,34,24.203766
0.945636,65,82.834824,39,24.244094
-4.158179,65,0.877061,0,24.283903
13.168804,65,295.544066,55,24.32342
-1.401451,65,180.345791,54,24.366936
-5.721605,65,279.475562,52,24.414908
4.421948,65,208.55772,57,24.455245
0.670239,65,46.557935,28,24.495129
-1.298866,65,8.34121,5,24.53612
1.764388,65,29.626104,23,24.575809
-2.359326,65,20.368999,18,24.619345
-1.825048,65,61.595231,29,24.66085
12.677241,65,106.644229,28,24.709454
2.744344,65,62.955884,29,24.749399
13.842136,65,98.753856,27,24.798847
3.487461,65,101.674822,36,24.840169
1.50756,65,169.644807,52,24.882219
1.223322,65,35.487758,19,24.922312
-15.926455,65,234.588974,53,24.962486
-2.415032,65,60.007758,44,25.006651
2.473402,65,61.381291,33,25.046648
-0.515625,65,2.897905,1,25.087807
13.316888,65,370.417186,50,25.130101
-5.65788,65,184.083121,43,25.170579
-1.696729,65,1.206471,0,25.210228
-4.270037,65,27.03133,18,25.25172
2.370411,65,5.052914,2,25.834974
-1.543975,65,36.127399,15,25.875467
-0.294999,65,349.947764,62,25.916539
